LOESS_RMSE,MF
13.868008987096195,MF102
16.28155025971314,MF117
6.064225358566196,MF121
70.06682569360358,MF124
6.603034902088488,MF13
23.247661184227212,MF134
52.54535920315256,MF137
77.84320422721498,MF141
98.55257407662837,MF144
3.5721733327604364,MF167
4.3081877927776,MF179
19.25470318932773,MF181
4.347255792638628,MF184
24.921141937464014,MF191
41.0756914021129,MF195
9.003507461836097,MF198
12.570301189154721,MF200
5.97881125948594,MF21
5.820637448039703,MF257
13.172236317985229,MF27
14.425634641670417,MF312
56.0311494249097,MF370
9.78631082234075,MF39
3.7269865481379987,MF421
31.000273579420018,MF439
14.53579495884098,MF44
11.399400448624377,MF46
4.266691863882036,MF465
7.850777405150147,MF476
7.235211928525366,MF478
35.86186856585335,MF5
4.158632117894779,MF557
3.9547049623403807,MF57
12.214878069767034,MF59
78.21742356595041,MF6
334.00843201832737,MF7
11.36541654143336,MF78
3.4938999667635326,MF89
3.1471236500813413,MF9
