LOESS_accuracy,MF,acc_missing
0.5407648908368138,MF102,true
0.3318089395284953,MF117,true
0.7078678403068094,MF121,true
0.17988104796286586,MF124,true
0.2255350348429681,MF13,true
0.3139710951573052,MF134,true
0.5871221907992096,MF137,true
0.13661790193780451,MF141,true
0.4227426069502195,MF144,true
0.2507296139830316,MF167,true
0.47394323122520765,MF179,true
0.502328964588601,MF181,true
0.5605230502505207,MF184,true
0.617570185018357,MF191,true
0.7198482959479893,MF195,true
0.8411551832370887,MF198,true
0.3474074210105363,MF200,true
0.4085103700292179,MF21,true
0.0,MF257,true
0.15499831043171267,MF27,true
0.781389307616839,MF312,true
0.3093796273310609,MF370,true
0.2714673580434372,MF39,true
NaN,MF421,false
0.539396445226585,MF439,true
0.20174805280651248,MF44,true
0.019456980940457776,MF46,true
NaN,MF465,false
0.21232552030604765,MF476,true
0.5362313069450434,MF478,true
0.7556851174213044,MF5,true
0.43941335771616247,MF557,true
0.05325798187581818,MF57,true
0.2632025779987071,MF59,true
0.27898229850824696,MF6,true
0.6587356235520258,MF7,true
0.2827587076278421,MF78,true
NaN,MF89,false
0.06403712412694935,MF9,true
