SARIMA_RMSE,MF
2.52972505147723,102
16.455685947416473,117
4.62330125316217,121
90.67510352902829,1223
157.05922449827645,124
2.2712111306525613,13
13.314095362485793,134
18.50651265669236,137
7.96442052269577,140
6.83142529733025,141
51.352375062238295,144
6.984096219260993,179
36.78450760850279,181
1.5789745838751252,184
6.848357467305573,191
42.18320642787088,195
6.457553716385176,198
10.02488743742344,2
8.02745289614941,200
2.745674526882768,257
4.367574318065949,27
3.4792383101363784,28
8.120989620495529,312
37.60064111767509,370
2.7375676988156523,39
9.62982865891185,421
9.727482370955375,439
31.444382747404667,44
3.9725780962990194,46
4.273827324527983,478
37.40235159561108,5
1.84016282534912,557
20.779797881596444,59
81.03516675182034,6
9.342845274447086,697
177.20588244391752,7
7.833748905487519,78
16.558429877255872,9
