"MF_extinct";"Hill.0_tau";"Hill.1_tau";"Hill.2_tau";"Hill.0_pvalue";"Hill.1_pvalue";"Hill.2_pvalue";"scientificName"
"MF102";0.318678079660543;0.188888888888889;0.0333333333333333;0.0150335102591019;0.128378772851431;0.788446734264471;"Pseudophloeophagus tenax borgesi Stüben, 2022"
"MF117";0.055415018363317;0.333333333333333;0.433333333333333;0.688664321004253;0.00729035809153555;0.000486164074979367;"Lathys dentichelis (Simon, 1883)"
"MF121";0;0.288888888888889;0.188888888888889;1;0.0200446686226274;0.128378772851431;"Ectopsocus briggsi McLachlan, 1899"
"MF124";0.0794144456061108;-0.111111111111111;-0.177777777777778;0.543405517072393;0.371093369522697;0.152406283956749;"Cyphopterum adscendens (Herrich-Schäffer, 1835)"
"MF13";0.0284583030451461;0.344444444444444;0.422222222222222;0.838807508384877;0.00555891962707045;0.000676764180121081;"Hoplothrips corticis (De Geer, 1773)"
"MF134";-0.0496903998300688;0.311111111111111;0.333333333333333;0.763024597364172;0.0122660613862129;0.00729035809153555;"Gibbaranea occidentalis Wunderlich, 1989"
"MF137";-0.0115712192846121;-0.0333333333333333;-0.0444444444444444;0.927614524997459;0.788446734264471;0.720514787136255;"Pinalitus oromii J. Ribes, 1992"
"MF141";0.247574566840839;-0.0333333333333333;-0.133333333333333;0.0542209982389967;0.788446734264471;0.283130870662347;"Calacalles subcarinatus (Israelson, 1984)"
"MF144";-0.0461934672149274;0.266666666666667;0.222222222222222;0.772460876529498;0.0318231273864902;0.0736382701203027;"Trigoniophthalmus borgesi Mendes, Gaju, Bach & Molero, 2000"
"MF167";0.0292509188753531;0.333333333333333;0.266666666666667;0.836282443299769;0.00729035809153555;0.0318231273864902;"Kleidocerys ericae (Horváth, 1909)"
"MF179";-0.0434868462343024;0.222222222222222;0.222222222222222;0.757827494506833;0.0736382701203027;0.0736382701203027;"Leucognatha acoreensis Wunderlich, 1992"
"MF181";0;-0.0777777777777778;-0.0444444444444444;1;0.531249985994848;0.720514787136255;"Savigniorrhipis acoreensis Wunderlich, 1992"
"MF184";-0.11768778942345;0.222222222222222;0.222222222222222;0.411547528491383;0.0736382701203027;0.0736382701203027;"Elipsocus azoricus Meinander, 1975"
"MF191";0.0434868462343024;0.222222222222222;0.222222222222222;0.757827494506833;0.0736382701203027;0.0736382701203027;"Valenzuela flavidus (Stephens, 1836)"
"MF195";-0.0872035382379089;0.122222222222222;0.0444444444444444;0.592653677325657;0.325179480098328;0.720514787136255;"Trioza laurisilvae Hodkinson, 1990"
"MF198";-0.00968928202643433;0.177777777777778;0.155555555555556;0.952598602966484;0.152406283956749;0.210497700055337;"Macaroeris cata (Blackwall, 1867)"
"MF200";0.00934444083585949;0.1;0.0666666666666667;0.953571596469759;0.42082864053497;0.591505036994917;"Hemerobius azoricus Tjeder, 1948"
"MF21";0;0.277777777777778;0.155555555555556;1;0.0253473186774682;0.210497700055337;"Tenuiphantes tenuis (Blackwall, 1852)"
"MF257";-0.0496903998300688;0.0111111111111111;-0.0888888888888889;0.763024597364172;0.928730074564803;0.474274350767329;"Catops coracinus Kellner, 1846"
"MF27";-0.0496903998300688;0.177777777777778;0.0888888888888889;0.763024597364172;0.152406283956749;0.474274350767329;"Lithobius pilicornis pilicornis Newport, 1844"
"MF312";-0.0472631852881508;0.111111111111111;0.0666666666666667;0.76944174624962;0.371093369522697;0.591505036994917;"Acorigone acoreensis (Wunderlich, 1992)"
"MF370";-0.0472631852881508;0.222222222222222;0.222222222222222;0.76944174624962;0.0736382701203027;0.0736382701203027;"Elipsocus brincki Badonnel, 1963"
"MF39";0;0.255555555555556;0.211111111111111;1;0.0396686704630667;0.0892416459942034;"Pisaura acoreensis Wunderlich, 1992"
"MF421";-0.00968928202643433;0.322222222222222;0.166666666666667;0.952598602966484;0.0094910960534409;0.179712494879;"Walckenaeria grandis (Wunderlich, 1992)"
"MF439";-0.0496903998300688;0.0888888888888889;0.144444444444444;0.763024597364172;0.474274350767329;0.244928778236031;"Notothecta dryochares (Israelson, 1985)"
"MF44";-0.0496903998300688;0.0777777777777778;0.0444444444444444;0.763024597364172;0.531249985994848;0.720514787136255;"Cinara juniperi (De Geer, 1773)"
"MF46";-0.0496903998300688;-0.0444444444444444;-0.0888888888888889;0.763024597364172;0.720514787136255;0.474274350767329;"Drouetius borgesi borgesi (Machado, 2009)"
"MF465";-0.0496903998300688;0.155555555555556;0.0888888888888889;0.763024597364172;0.210497700055337;0.474274350767329;"Eupteryx azorica Ribaut, 1941"
"MF476";-0.0496903998300688;0;0;0.763024597364172;1;1;"Monalocoris filicis (Linnaeus, 1758)"
"MF478";-0.0745355997451032;0;-0.122222222222222;0.601508129397348;1;0.325179480098328;"Trichopsocus clarus (Banks, 1908)"
"MF5";-0.0496903998300688;0.222222222222222;0.322222222222222;0.763024597364172;0.0736382701203027;0.0094910960534409;"Rugathodes acoreensis Wunderlich, 1992"
"MF557";-0.0496903998300688;0.0444444444444444;0.0333333333333333;0.763024597364172;0.720514787136255;0.788446734264471;"Strophingia harteni Hodkinson, 1981"
"MF57";-0.0745355997451032;-0.0888888888888889;-0.0888888888888889;0.601508129397348;0.474274350767329;0.474274350767329;"Atheta aeneicollis (Sharp, 1869)"
"MF59";-0.0496903998300688;0.155555555555556;0.0888888888888889;0.763024597364172;0.210497700055337;0.474274350767329;"Zetha simonyi (Krauss, 1892)"
"MF6";-0.0231422453326604;0.155555555555556;0.166666666666667;0.869932157627048;0.210497700055337;0.179712494879;"Leiobunum blackwalli Meade, 1861"
"MF7";0.0597136095704326;0.0444444444444444;-0.0333333333333333;0.644608059138383;0.720514787136255;0.788446734264471;"Cixius azoterceirae Remane & Asche, 1979"
"MF78";0.0596981561171094;-0.0888888888888889;-0.0888888888888889;0.644608061824048;0.474274350767329;0.474274350767329;"Anaspis proteus Wollaston, 1854"
"MF89";0.0799687640788033;0.0888888888888889;0.0555555555555556;0.542226602265258;0.474274350767329;0.654720846018577;"Tachyporus nitidulus (Fabricius, 1781)"
"MF9";-0.00776106010425076;0.222222222222222;0.3;0.95616637017942;0.0736382701203027;0.015737222266311;"Ommatoiulus moreleti (Lucas, 1860)"
