"scenario";"n";"statistic";"df";"p";"method"
0;1560;4.38392574300964;38;1;"Kruskal-Wallis"
10;1560;6.50393380857456;38;1;"Kruskal-Wallis"
20;1560;6.52275060940185;38;1;"Kruskal-Wallis"
30;1560;5.32521881527725;38;1;"Kruskal-Wallis"
40;1560;3.64885836808421;38;1;"Kruskal-Wallis"
50;1560;3.53050917550088;38;1;"Kruskal-Wallis"
60;1560;4.40890838825528;38;1;"Kruskal-Wallis"
70;1560;4.22275871861044;38;1;"Kruskal-Wallis"
80;1560;3.65952081044186;38;1;"Kruskal-Wallis"
90;1560;4.680979730164;38;1;"Kruskal-Wallis"
100;1560;3.26359203683969;38;1;"Kruskal-Wallis"
