IA_RMSE,MF
1.8179657837666205,102
22.78539019605978,117
4.617187995324419,121
101.4780764500392,1223
157.46537253624567,124
3.5457972331837095,13
13.368250811386666,134
28.163663678728344,137
8.018278308659822,140
5.955465205541561,141
49.58218848300202,144
8.757343713894066,179
32.00832918506459,181
3.0842748335702623,184
21.316739920757872,191
42.78657484056672,195
13.740409846323617,198
11.76010204037363,2
9.480078207878714,200
1.9239562348341495,257
4.828139566296227,27
5.671734237027186,28
8.019950402451027,312
35.97375646833302,370
3.062951433775945,39
7.354483845923915,421
17.024028801384556,439
38.934317894461486,44
2.2782009696582244,46
9.281226592671873,478
30.838289812923115,5
1.4948174265805994,557
25.020839835649106,59
124.2404913899345,6
11.552533096967071,697
125.57118779080508,7
5.114102405365382,78
18.673510650116114,9
