model_name,epoch_number,mean_accuracy
V6_shuffle,50000,0.8307653956868557
V6_sorted,50000,0.8852829079486526
V6_shuffle,50000,0.7822049942008102
V6_sorted,50000,0.7901966596852804
V6_shuffle,50000,0.7834837544503005
V6_sorted,50000,0.7277271105253383
V6_shuffle,50000,0.8145620386990304
V6_sorted,50000,0.8235458251278053
V6_shuffle,50000,0.7882568021796682
V6_sorted,50000,0.6781562830346456
V6_shuffle,50000,0.5943407452715159
V6_sorted,50000,0.8239778820070871
V6_shuffle,50000,0.8775035429696569
V6_sorted,50000,0.7544974001664279
V6_shuffle,50000,0.8673159495027125
V6_sorted,50000,0.7664147287818348
V6_shuffle,50000,0.8023656498503802
V6_sorted,50000,0.8483151311010215
V6_shuffle,50000,0.7584864372900534
V6_sorted,50000,0.7728511702261375
V6_shuffle,50000,0.7637783331688927
V6_sorted,50000,0.813472115944296
V6_shuffle,50000,0.8042370062621261
V6_sorted,50000,0.8557847905192147
V6_shuffle,50000,0.882404321296899
V6_sorted,50000,0.8164702005764325
V6_shuffle,50000,0.8189885641199338
V6_sorted,50000,0.6714685989685669
V6_shuffle,50000,0.7354023898032468
V6_sorted,50000,0.8616524379590306
V6_shuffle,50000,0.773675060372965
V6_sorted,50000,0.8250575439550667
V6_shuffle,50000,0.8071224694930398
V6_sorted,50000,0.653121835089828
V6_shuffle,50000,0.8230372419598859
V6_sorted,50000,0.8032456931040658
V6_shuffle,50000,0.8660408507223863
V6_sorted,50000,0.7830872074023808
V6_shuffle,50000,0.7098214589577415
V6_sorted,50000,0.7896756367980081
V6_shuffle,50000,0.8599124593833076
V6_sorted,50000,0.8218377637038372
V6_shuffle,50000,0.5651845798403893
V6_sorted,50000,0.7985090836959353
V6_shuffle,50000,0.717003176017794
V6_sorted,50000,0.8521012208028449
V6_shuffle,50000,0.6713345869860106
V6_sorted,50000,0.7770697962653706
V6_shuffle,50000,0.8521653964268088
V6_sorted,50000,0.7252428215808553
V6_shuffle,50000,0.8654561771566657
V6_sorted,50000,0.8261918843384682
V6_shuffle,50000,0.8253615500469129
V6_sorted,50000,0.8025651625134206
V6_shuffle,50000,0.7775221905149038
V6_sorted,50000,0.766960104688657
V6_shuffle,50000,0.7819840399298726
V6_sorted,50000,0.8182835972733578
V6_shuffle,50000,0.8777836863163495
V6_sorted,50000,0.7774163882855962
V6_shuffle,50000,0.8037719312007872
V6_sorted,50000,0.8673408056831784
V6_shuffle,50000,0.7192167882184555
V6_sorted,50000,0.8046106236243101
V6_shuffle,50000,0.7876397637009043
V6_sorted,50000,0.8048035569963858
V6_shuffle,50000,0.5645261642432485
V6_sorted,50000,0.8239725155798985
V6_shuffle,50000,0.876196940953044
V6_sorted,50000,0.7834353552294152
V6_shuffle,50000,0.8370077311262915
V6_sorted,50000,0.8058879287443198
V6_shuffle,50000,0.7222917966908801
V6_sorted,50000,0.7406569939654587
V6_shuffle,50000,0.659339176161863
V6_sorted,50000,0.7534241074053911
V6_shuffle,50000,0.7846908000662428
V6_sorted,50000,0.7740332640725199
V6_shuffle,50000,0.8000876754506875
V6_sorted,50000,0.845833738599235
V6_shuffle,50000,0.6827448731556399
V6_sorted,50000,0.7914067890639946
V6_shuffle,50000,0.824406708586958
V6_sorted,50000,0.7472617182739564
V6_shuffle,50000,0.864048152851654
V6_sorted,50000,0.810446338319494
V6_shuffle,50000,0.8391261673812431
V6_sorted,50000,0.7992129352258249
V6_shuffle,50000,0.8701327353066964
V6_sorted,50000,0.7544596870129163
V6_shuffle,50000,0.7631759589588668
V6_sorted,50000,0.7572220987647519
V6_shuffle,50000,0.8161882569923113
V6_sorted,50000,0.8544002522003754
V6_shuffle,50000,0.7250981781941069
V6_sorted,50000,0.7652979137076915
V6_shuffle,50000,0.7920154070754704
V6_sorted,50000,0.8517326604867688
V6_shuffle,50000,0.8543611548665768
V6_sorted,50000,0.7289815764417208
